seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,0.0001,0.1,badnet,"(8, 8)",badnet,0.848,0.85,0.148,0.7786666666666666,-0.0029949330317750778,0.06207247352405478,4655.435514304108,1.504389994862113,0.013849015658380592,2.4479465691023554
10,0.0001,0.1,badnet,"(8, 8)",badnet,0.848,0.848,0.154,0.774,-0.0025285441936538085,0.015611905707378691,1170.8929280534019,1.5123811901733608,0.2138785798429378,2.4711736016711807
11,0.0001,0.1,badnet,"(8, 8)",badnet,0.848,0.842,0.182,0.78,-0.00041283798693794347,0.007595243638827037,569.6432729120278,1.455042392148443,0.1692228105953052,2.432310099866993
100,0.0001,0.1,badnet,"(8, 8)",badnet,0.848,0.848,0.168,0.782,-0.0005238766497662197,0.01758465602933273,1318.8492021999548,1.4632153054804504,0.01178669502026064,2.4381112911608307
101,0.0001,0.1,badnet,"(8, 8)",badnet,0.848,0.85,0.186,0.786,-0.001110370751556812,0.007896002372162092,592.200177912157,1.4542789207694355,0.09082693192001656,2.388928729524852
1,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.868,0.862,0.144,0.794,-0.021819734992907805,0.2285975250810766,17144.814381080745,1.6370600482864752,0.0,2.7804371525441436
10,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.868,0.866,0.144,0.794,-0.017888730734251443,0.07011905693977709,5258.9292704832815,1.651867716277997,0.1941963103355655,2.808632639473886
11,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.868,0.864,0.18,0.7993333333333333,-0.0030313225489377337,0.15845510175333316,11884.132631499986,1.5789093166344141,0.16764905793851637,2.765440294545966
100,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.868,0.87,0.172,0.7973333333333333,-0.008043867521640945,0.0826227566979707,6196.706752347803,1.5962103017569143,0.0,2.798777480770364
101,0.0001,0.21544346900318834,badnet,"(8, 8)",badnet,0.868,0.864,0.186,0.7986666666666666,-0.016097738197863226,0.14588875519661798,10941.656639746348,1.5813083098193623,0.06540115999591012,2.778857308033536
1,0.0001,0.46415888336127786,badnet,"(8, 8)",badnet,0.886,0.876,0.136,0.814,-0.09369597181330025,0.9962597250752164,74719.47938064123,1.7825011989771946,0.0,3.2321671653926267
10,0.0001,0.46415888336127786,badnet,"(8, 8)",badnet,0.886,0.882,0.138,0.814,-0.08563650940566613,0.18616227638343177,13962.170728757383,1.8023985567746885,0.0,3.2556806753836094
11,0.0001,0.46415888336127786,badnet,"(8, 8)",badnet,0.886,0.884,0.18,0.8186666666666667,-0.12003272115646497,1.7707020087058325,132802.65065293745,1.7169002875421164,0.0,3.165583072331701
