seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(8, 8)",badnet,0.942,0.936,0.09,0.8513333333333334,-0.00013032485512545595,0.00013222734857006445,9.917051142754833,2.2886037670963386,0.22713403996484455,4.645763890653472
10,-1,0.0001,badnet,"(8, 8)",badnet,0.942,0.932,0.09,0.8633333333333333,-0.000138301467525182,0.00013996242414423914,10.497181810817935,2.3863251755753314,0.22743009232990588,4.757216667198008
11,-1,0.0001,badnet,"(8, 8)",badnet,0.942,0.932,0.096,0.8453333333333334,-0.00013668326546290117,0.0001388968992656576,10.41726744492432,2.366911062420377,0.22073936141480963,4.70992550191818
100,-1,0.0001,badnet,"(8, 8)",badnet,0.942,0.928,0.106,0.8566666666666667,-0.00013183328764262712,0.00013359339168867143,10.019504376650357,2.3205626169161353,0.22122941384733738,4.753526823783827
101,-1,0.0001,badnet,"(8, 8)",badnet,0.942,0.936,0.112,0.854,-0.00013042354217791845,0.00013260030157658903,9.945022618244177,2.312676844464422,0.23256136810336664,4.795120824001442
1,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.948,0.952,0.094,0.8673333333333333,-0.0008872050018017194,0.0008959004540789621,67.19253405592215,3.2343983843360173,0.16012380655513364,7.157241626001268
10,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.948,0.938,0.116,0.8806666666666667,-0.0009185239039278128,0.0009258814699314995,69.44111024486246,3.3623651149681066,0.1669725857179325,7.2161277658118586
11,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.948,0.938,0.142,0.866,-0.0009330531604704208,0.0009425686206689361,70.69264655017021,3.3720512761607617,0.16121321291302718,7.471175818906866
100,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.948,0.942,0.128,0.8733333333333333,-0.0009067160235505666,0.0009132153107279512,68.49114830459634,3.3265011747959816,0.14920483935725126,7.3030630900423725
101,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.948,0.946,0.14,0.8653333333333333,-0.0008802527784873262,0.00088874094422999,66.65557081724926,3.268370989691695,0.16514067948228667,7.419772290654853
1,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.958,0.948,0.3,0.9093333333333333,-0.004803296614512492,0.004859726377774824,364.47947833311184,4.2416970123209214,0.16341039802219937,9.787152205074184
10,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.958,0.94,0.348,0.9173333333333333,-0.00486086612141097,0.004919796613658879,368.98474602441587,4.356634550081242,0.1800151385935765,9.69142364533116
11,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.958,0.94,0.428,0.9306666666666666,-0.0050278424373696685,0.0050890491645229135,381.6786873392185,4.431270607468759,0.21289741112304983,10.36426659485247
100,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.958,0.94,0.354,0.9053333333333333,-0.00513939918176891,0.0051848360302006674,388.8627022650501,4.4604671283728345,0.1642899137487687,9.748624199291418
101,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.958,0.948,0.358,0.91,-0.004824004253570093,0.004884532235796484,366.33991768473635,4.302972606476466,0.1388805006289424,10.02173765999665
1,-1,0.01,badnet,"(8, 8)",badnet,0.96,0.948,0.602,0.968,-0.026072481388172114,0.027017132740200716,2026.2849555150538,5.306932140786143,0.17510920377121875,13.031259110009433
10,-1,0.01,badnet,"(8, 8)",badnet,0.96,0.946,0.592,0.9686666666666667,-0.026321552371964617,0.02728449206541436,2046.3369049060768,5.378899121499162,0.18374352494035046,12.60458122279163
11,-1,0.01,badnet,"(8, 8)",badnet,0.96,0.942,0.692,0.9766666666666667,-0.027125794504180727,0.028166712954141603,2112.5034715606203,5.541981222724755,0.1520549380864614,13.305678807580938
100,-1,0.01,badnet,"(8, 8)",badnet,0.96,0.944,0.638,0.9673333333333334,-0.03025512585329908,0.03100104910732469,2325.0786830493516,5.748164928053398,0.11255687134610334,12.49270619621917
101,-1,0.01,badnet,"(8, 8)",badnet,0.96,0.94,0.612,0.9686666666666667,-0.02668114400710631,0.02772714632432908,2079.535974324681,5.469334558488247,0.15534122169615222,12.888042232027347
1,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.952,0.942,0.728,0.994,-0.18836253908139824,0.2089419868641215,15670.649014809112,6.827598939325744,0.07461991610387542,17.44163828039929
10,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.952,0.944,0.72,0.9973333333333333,-0.18903164644848963,0.2061714204480488,15462.856533603659,6.791788238941688,0.08466462489031677,17.377486285956387
11,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.952,0.928,0.778,0.9966666666666667,-0.20004916797580993,0.21859235902104018,16394.426926578013,7.151527157480512,0.05091753026882531,17.184545312201248
