seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(8, 8)",badnet,0.952,0.95,0.074,0.8626666666666667,-2.4173636064103715e-05,4.306991097833974e-05,3.2302433233754804,2.052199861639063,0.0,3.736829780387162
10,-1,0.0001,badnet,"(8, 8)",badnet,0.952,0.942,0.114,0.876,-3.100313690221119e-05,3.5129378146376817e-05,2.634703360978261,2.114732867790324,0.010514000924481737,3.7709592569234114
11,-1,0.0001,badnet,"(8, 8)",badnet,0.952,0.948,0.092,0.8593333333333333,-2.956090564820037e-05,4.8873735236201787e-05,3.665530142715134,2.107678460118816,0.021210539563907727,3.8730015874597146
100,-1,0.0001,badnet,"(8, 8)",badnet,0.952,0.944,0.14,0.87,-2.8990020724709236e-05,9.259849591319035e-05,6.944887193489277,2.1018905238133057,0.0022932407041833525,3.704726050397314
101,-1,0.0001,badnet,"(8, 8)",badnet,0.952,0.95,0.158,0.8646666666666667,-2.78190761608553e-05,5.3131123392518036e-05,3.984834254438853,2.0746098713968713,0.005093031313131657,3.7348136965313934
1,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.954,0.952,0.17,0.886,-0.0006721798770445184,0.003915004803067555,293.62536023006663,2.3208754856504394,0.0065723684811309635,4.349016901841165
10,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.954,0.948,0.304,0.9093333333333333,-0.0007711410274286267,0.0008771694905106972,65.78771178830229,2.356735986319703,0.13767886214272207,4.23638117539419
11,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.954,0.942,0.322,0.9086666666666666,-0.0007824175632065396,0.0010553593437641823,79.15195078231368,2.3974755098721263,0.20615823731410732,4.616097243480621
100,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.954,0.934,0.386,0.9026666666666666,-0.0007351665675582407,0.003823136123460171,286.7352092595128,2.432614549934414,0.17061042682536542,4.32003367226761
101,-1,0.00046415888336127773,badnet,"(8, 8)",badnet,0.954,0.946,0.398,0.908,-0.0007152944066046934,0.0010392803236996455,77.94602427747341,2.3597509622847856,0.0,4.362850719418468
1,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.956,0.936,0.686,0.9626666666666667,-0.022661497096785478,0.10369873772835086,7777.405329626315,2.471673129358028,0.0,4.636841254296355
10,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.956,0.94,0.668,0.964,-0.015095758321819764,0.09023025176715167,6767.268882536376,2.4532764424946154,0.0,4.633736782353517
11,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.956,0.934,0.746,0.9753333333333334,-0.022001361729116948,0.11042974316553462,8282.230737415097,2.5732224796461898,0.0,5.3202167022535285
100,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.956,0.95,0.678,0.9606666666666667,-0.017993806356048386,0.025906477757175212,1942.9858317881408,2.63253786531146,0.08851021883912003,4.810683746256736
101,-1,0.002154434690031882,badnet,"(8, 8)",badnet,0.956,0.944,0.662,0.9626666666666667,-0.019820877877009032,0.11177602329068304,8383.201746801227,2.5412124570753702,0.08153395283259224,4.851877274185801
1,-1,0.01,badnet,"(8, 8)",badnet,0.948,0.938,0.758,0.992,-0.21278745098032265,0.6564142734326779,49231.070507450844,2.565121372932508,0.0,5.11541276090365
10,-1,0.01,badnet,"(8, 8)",badnet,0.948,0.942,0.772,0.994,-0.1525524631238747,1.3490463099378571,101178.47324533928,2.4961231437234632,0.0,5.484050160829798
11,-1,0.01,badnet,"(8, 8)",badnet,0.948,0.924,0.806,0.996,-0.16697942279707845,1.5542656845728111,116569.92634296084,2.66529310531015,0.0,5.636441555263641
100,-1,0.01,badnet,"(8, 8)",badnet,0.948,0.934,0.786,0.994,-0.1727908763875418,0.31136897674970454,23352.67325622784,2.7639904798282133,0.0,5.580836154335282
101,-1,0.01,badnet,"(8, 8)",badnet,0.948,0.942,0.736,0.9926666666666667,-0.2000956865774616,0.24186925219976274,18140.193914982206,2.724352447638872,0.0,5.1911136789368175
1,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-0.29573685474388245,3.0698014920901806,230235.11190676354,2.5891920697864035,0.0,5.706501143992369
10,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-0.29642012395310036,3.137628705947154,235322.15294603654,2.4994197163787604,0.0,5.889687218921719
11,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-0.33309371956036393,3.2180093998753025,241350.70499064768,2.727861305529909,0.0,5.841960065538064
100,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-0.3246837057627367,3.241804861072032,243135.3645804024,2.8131157208737596,0.0,6.0894180450283315
101,-1,0.046415888336127774,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-0.3388623819194416,3.198235824660676,239867.6868495507,2.755648168180659,0.0,5.660200164593292
1,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-4.018592962542527,66.04966105410746,4953724.5790580595,2.5891920697864035,0.0,5.706501143992369
10,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-4.167037945600373,67.94328223645923,5095746.167734442,2.4994197163787604,0.0,5.889687218921719
11,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-4.610307347852366,69.69607766902705,5227205.825177029,2.727861305529909,0.0,5.841960065538064
100,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-4.282048424430669,70.07311420337385,5255483.565253039,2.8131157208737596,0.0,6.0894180450283315
101,-1,0.21544346900318823,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-4.680539593332857,69.23030407227424,5192272.805420567,2.755648168180659,0.0,5.660200164593292
1,-1,1.0,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-75.65693158358033,1422.5920304017968,106694402.28013477,2.5891920697864035,0.0,5.706501143992369
10,-1,1.0,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-79.4757754490353,1465.3955516015944,109904666.37011959,2.4994197163787604,0.0,5.889687218921719
11,-1,1.0,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-87.4158399684984,1503.2560707607402,112744205.30705552,2.727861305529909,0.0,5.841960065538064
100,-1,1.0,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-79.66107427545121,1510.7495790987984,113306218.43240988,2.8131157208737596,0.0,6.0894180450283315
101,-1,1.0,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-88.67807079919294,1493.036710811039,111977753.31082793,2.755648168180659,0.0,5.660200164593292
1,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-1579.2882520198461,30646.937378294348,2298520303.372076,2.5891920697864035,0.0,5.706501143992369
10,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-1664.4437537527906,31578.4255153822,2368381913.653665,2.4994197163787604,0.0,5.889687218921719
11,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-1828.0348327575111,32394.559093679913,2429591932.0259933,2.727861305529909,0.0,5.841960065538064
100,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-1657.7949290298386,32553.07996800813,2441480997.60061,2.8131157208737596,0.0,6.0894180450283315
101,-1,4.641588833612772,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-1854.0643036234042,32173.53295047088,2413014971.285316,2.755648168180659,0.0,5.660200164593292
1,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-33789.44751438679,660259.5295896584,49519464719.22438,2.5891920697864035,0.0,5.706501143992369
10,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-35637.43962361095,680371.0659643883,51027829947.329124,2.4994197163787604,0.0,5.889687218921719
11,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-39127.218653126714,697956.2354800894,52346717661.00671,2.727861305529909,0.0,5.841960065538064
100,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-35444.804044068194,701357.9020739143,52601842655.54357,2.8131157208737596,0.0,6.0894180450283315
101,-1,21.54434690031882,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-39682.6016213401,693190.3950934615,51989279632.00961,2.755648168180659,0.0,5.660200164593292
1,-1,100.0,badnet,"(8, 8)",badnet,0.942,0.936,0.75,1.0,-726879.4758948067,14224819.871721227,1066861490379.092,2.5891920697864035,0.0,5.706501143992369
10,-1,100.0,badnet,"(8, 8)",badnet,0.942,0.934,0.778,1.0,-766755.3283304651,14658310.457032107,1099373284277.4081,2.4994197163787604,0.0,5.889687218921719
11,-1,100.0,badnet,"(8, 8)",badnet,0.942,0.916,0.806,1.0,-841779.3498225184,15037181.218010375,1127788591350.778,2.727861305529909,0.0,5.841960065538064
100,-1,100.0,badnet,"(8, 8)",badnet,0.942,0.92,0.806,1.0,-762375.8678967842,15110404.953391926,1133280371504.3945,2.8131157208737596,0.0,6.0894180450283315
101,-1,100.0,badnet,"(8, 8)",badnet,0.942,0.914,0.734,1.0,-853719.6254492798,14934485.842248969,1120086438168.6726,2.755648168180659,0.0,5.660200164593292
