seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,0.0005,0.1,badnet,"(6, 6)",badnet,0.91,0.868,0.144,0.8446666666666667,-0.0003400297452005514,0.01937178297916833,1452.883723437625,1.5960684254442876,0.057040341640198444,2.212459616070377
10,0.0005,0.1,badnet,"(6, 6)",badnet,0.91,0.878,0.122,0.846,-0.0004138151419137298,0.01781805509037157,1336.3541317778677,1.6011093284126519,0.07354775545984304,2.216700267654232
11,0.0005,0.1,badnet,"(6, 6)",badnet,0.91,0.876,0.124,0.8393333333333334,-0.00054093939839908,0.03942260481878866,2956.69536140915,1.5969764738390013,0.07731376109991117,2.216127994368299
100,0.0005,0.1,badnet,"(6, 6)",badnet,0.91,0.894,0.106,0.8466666666666667,-0.0005979223309114903,0.01766112131350462,1324.5840985128464,1.5983824329631424,0.07417195613182714,2.2202633899790847
101,0.0005,0.1,badnet,"(6, 6)",badnet,0.91,0.88,0.122,0.8386666666666667,-0.0005382745227347827,0.009464101754242813,709.8076315682109,1.5988668466761855,0.07078486558592156,2.2120600681302482
1,0.0005,0.21544346900318834,badnet,"(6, 6)",badnet,0.942,0.928,0.078,0.8653333333333333,-0.0017305939649873597,0.044279095168728785,3320.932137654659,1.7677424078314352,0.005414556270979087,2.6394305985937176
10,0.0005,0.21544346900318834,badnet,"(6, 6)",badnet,0.942,0.928,0.072,0.8686666666666667,-0.0023473146730352504,0.09485324451163314,7113.993338372486,1.77512371141727,0.023642824873488122,2.6583433626611006
11,0.0005,0.21544346900318834,badnet,"(6, 6)",badnet,0.942,0.93,0.07,0.8653333333333333,-0.0013689452231862903,0.04412849472610513,3309.637104457885,1.7720147586924317,0.025583467246140246,2.6503357514915113
100,0.0005,0.21544346900318834,badnet,"(6, 6)",badnet,0.942,0.934,0.066,0.8613333333333333,-0.003367989261291471,0.09851521226865702,7388.640920149276,1.7744690503486733,0.014816490397689175,2.6531233932137415
101,0.0005,0.21544346900318834,badnet,"(6, 6)",badnet,0.942,0.934,0.068,0.862,-0.0028243515920619885,0.095992171783099,7199.412883732425,1.772273186112256,0.01818922749344387,2.6442529673488173
1,0.0005,0.46415888336127786,badnet,"(6, 6)",badnet,0.956,0.946,0.062,0.878,-0.019216041300982076,0.8315600552592246,62367.004144441846,1.9171732617136756,0.0,3.012905435390804
10,0.0005,0.46415888336127786,badnet,"(6, 6)",badnet,0.956,0.946,0.056,0.8793333333333333,-0.023536441222413808,0.8590219503825908,64426.64627869431,1.9174821564292515,0.0,3.0180649718129735
