seed,gamma,c,trigger_type,trigger_size,trigger_type,clf_acc,clfp_acc,clfp_acc_on_backdoor,clfp_acc_tr,avg_I_poison_train_triggered_test_clf,avg_abs_I_poison_train_triggered_test_clf,norm_I_poison_train_triggered_test_clf,mean_loss,min_loss,max_loss
1,-1,0.0001,badnet,"(3, 3)",badnet,0.944,0.94,0.06,0.8726666666666667,-2.7614751219684238e-08,2.7993037792403918e-08,0.0020994778344302937,2.38147526237819,0.12286112566076055,4.501315189520197
10,-1,0.0001,badnet,"(3, 3)",badnet,0.944,0.944,0.056,0.8746666666666667,-2.7822844584601732e-08,2.810320358509124e-08,0.002107740268881843,2.3874102609074335,0.1364116961292917,4.5135891743250465
11,-1,0.0001,badnet,"(3, 3)",badnet,0.944,0.94,0.062,0.8746666666666667,-2.7441927342770188e-08,2.778505583307433e-08,0.0020838791874805748,2.3841337684653987,0.1364558858620969,4.497558814893173
100,-1,0.0001,badnet,"(3, 3)",badnet,0.944,0.946,0.052,0.8706666666666667,-2.7913142537156487e-08,2.814002672030688e-08,0.002110502004023016,2.3821626124714856,0.1353414019046688,4.507766563360127
101,-1,0.0001,badnet,"(3, 3)",badnet,0.944,0.946,0.056,0.8746666666666667,-2.7604540184933488e-08,2.7923728146480182e-08,0.0020942796109860136,2.3844089400562676,0.13366405536846163,4.514680861532588
1,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.96,0.956,0.046,0.8853333333333333,-9.030113506475921e-07,9.074666370439395e-07,0.06805999777829547,3.152479079185786,0.04118074889175181,6.115138302609663
10,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.96,0.958,0.048,0.8873333333333333,-9.288681292692511e-07,9.324752282387209e-07,0.06993564211790407,3.156368202161876,0.0570055768370646,6.238906674065421
11,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.96,0.956,0.054,0.8873333333333333,-9.018578490239244e-07,9.06977092389627e-07,0.06802328192922202,3.159339325534229,0.05566748030523479,6.188920272191619
100,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.96,0.96,0.04,0.886,-9.591413628291855e-07,9.612501867340095e-07,0.07209376400505071,3.1497641940257832,0.05481281171445622,6.141167714820169
101,-1,0.0005994842503189409,badnet,"(3, 3)",badnet,0.96,0.958,0.046,0.8866666666666667,-9.339993651216318e-07,9.36698949139439e-07,0.07025242118545792,3.156311653151643,0.048918039136176684,6.26116744953203
1,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.974,0.962,0.126,0.9026666666666666,-1.614279835764989e-05,1.7420525389613325e-05,1.3065394042209995,3.4967765298080957,0.03787887265713099,6.952621707822669
10,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.974,0.968,0.312,0.9273333333333333,-1.643796639457108e-05,1.7509304056352817e-05,1.3131978042264614,3.494537986355477,0.05966050626023348,7.241739971447336
11,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.974,0.97,0.444,0.9413333333333334,-1.5838166754380608e-05,1.7144720276906444e-05,1.2858540207679834,3.508947825756761,0.05792985410962483,7.1833055097670355
100,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.974,0.976,0.096,0.9013333333333333,-1.967195469389993e-05,2.0691783560064342e-05,1.5518837670048256,3.4895687980747687,0.06490851917058718,7.098051434656462
101,-1,0.003593813663804626,badnet,"(3, 3)",badnet,0.974,0.974,0.068,0.8953333333333333,-1.8128681719188834e-05,1.918032214751831e-05,1.4385241610638733,3.4988833408525495,0.04221183587051703,7.292703602187061
1,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.978,0.97,0.794,0.98,-0.00027718094827892785,0.0004939961447943591,37.04971085957693,3.630816874998969,0.04187851628129714,6.713122878724064
10,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.978,0.98,0.976,0.992,-0.00028918197630142106,0.0004890603604515853,36.679527033868894,3.621402380406285,0.06488404330499181,7.311390852447507
11,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.978,0.978,0.992,0.9926666666666667,-0.00022253101427405724,0.0004680477557087921,35.10358167815941,3.645664049994085,0.07512456892838502,7.123526916690845
100,-1,0.021544346900318846,badnet,"(3, 3)",badnet,0.978,0.978,0.734,0.9793333333333333,-0.00043221301620073653,0.0005897061804960834,44.22796353720626,3.6193552912492906,0.0856499212564814,7.317159666755172
